"Course","Area B","Writing","Area C","Area E","Quant. Relationships","IGETC Category","AHI","Area D","Area F","Ethnicity","Euro Trad","World Cult","Area G"
"BL ST 1",0,1,0,0,0,0,1,1,0,1,0,0,0
"BL ST 100",0,0,0,0,0,0,0,1,0,0,0,0,0
"BL ST 102",0,1,0,0,0,0,0,1,0,1,0,0,0
"BL ST 103",0,1,0,0,0,0,1,1,0,1,0,0,0
"BL ST 104",0,1,0,1,0,0,0,0,0,0,0,1,0
"BL ST 122",0,0,0,0,0,0,0,1,0,1,0,0,0
"BL ST 124",0,1,0,0,0,0,0,1,0,0,0,0,0
"BL ST 125",0,1,0,0,0,0,0,1,0,0,0,0,0
"BL ST 126",0,1,0,0,0,0,0,0,0,0,0,1,1
"BL ST 127",0,1,0,0,0,0,0,0,0,1,0,0,1
"BL ST 129",0,1,0,0,0,0,0,1,0,1,0,0,0
"BL ST 130",0,1,0,1,0,0,0,0,0,0,0,1,1
"BL ST 131",0,1,0,0,0,0,0,1,0,1,0,0,0
"BL ST 137",0,1,0,0,0,0,1,0,0,1,0,0,0
"BL ST 14",0,1,0,0,0,0,0,0,1,1,0,0,0
"BL ST 142",0,0,0,0,0,0,0,0,1,1,0,0,0
"BL ST 15",0,0,0,0,0,0,0,1,0,1,0,0,0
"BL ST 153",0,1,0,0,0,0,0,0,1,0,0,0,0
"BL ST 160",0,1,0,0,0,0,0,1,0,1,0,0,0
"BL ST 161",0,0,0,0,0,0,0,0,1,0,0,1,0
"BL ST 162",0,1,0,0,0,0,0,0,1,0,0,1,0
"BL ST 169",0,1,0,0,0,0,1,1,0,1,0,0,0
"BL ST 170",0,1,0,0,0,0,0,0,1,1,0,0,0
"BL ST 171",0,1,0,0,0,0,0,1,1,0,0,1,0
"BL ST 172",0,1,0,0,0,0,0,0,1,1,0,0,0
"BL ST 174",0,1,0,0,0,0,0,1,0,0,0,0,0
"BL ST 175",0,0,0,0,0,0,0,0,1,0,0,1,0
"BL ST 3",0,0,0,1,0,0,0,0,0,0,0,1,0
"BL ST 33",0,1,0,0,0,0,0,0,0,0,0,1,1
"BL ST 38",0,1,0,0,0,0,0,0,0,1,0,0,1
"BL ST 4",0,0,0,0,0,0,0,1,0,1,0,0,0
"BL ST 45",0,1,0,0,0,0,0,0,1,0,0,0,0
"BL ST 49",0,1,0,1,0,0,0,0,0,0,0,1,0
"BL ST 5",0,1,0,1,0,0,0,0,0,0,0,1,0
"BL ST 50",0,1,0,1,0,0,0,0,0,1,0,0,0
"BL ST 6",0,1,0,0,0,0,1,1,0,1,0,0,0
"BL ST 7",0,1,0,1,0,0,0,0,0,0,0,1,0
"C LIT 100",0,1,0,0,0,0,0,0,0,0,0,0,1
"C LIT 103",0,1,0,0,0,0,0,0,0,0,0,0,1
"C LIT 107",0,1,0,0,0,0,0,0,0,0,0,0,1
"C LIT 113",0,1,0,1,0,0,0,0,0,0,0,0,1
"C LIT 119",0,1,0,1,0,0,0,1,0,0,0,0,0
"C LIT 122",0,1,0,1,0,0,0,0,0,0,0,0,1
"C LIT 126",0,1,0,0,0,0,0,0,0,0,0,1,1
"C LIT 128",0,1,0,0,0,0,0,0,0,0,0,0,1
"C LIT 133",0,1,0,0,0,0,1,0,0,0,0,0,1
"C LIT 153",0,1,0,0,0,0,0,0,0,1,0,0,1
"C LIT 154",0,1,0,0,0,0,0,0,0,0,0,0,1
"C LIT 161",0,1,0,0,0,0,0,0,0,0,0,0,1
"C LIT 170",0,1,0,0,0,0,0,0,0,0,0,0,1
"C LIT 171",0,1,0,1,0,0,0,0,0,0,0,1,1
"C LIT 179",0,1,0,1,0,0,0,0,0,0,0,0,1
"C LIT 184",0,0,0,0,0,0,0,0,1,1,0,0,0
"C LIT 186",0,1,0,0,0,0,0,1,0,0,1,0,0
"C LIT 188",0,0,0,0,0,0,0,0,0,0,0,0,1
"C LIT 189",0,1,0,0,0,0,0,0,0,0,0,0,1
"C LIT 191",0,0,0,0,0,0,0,0,0,0,0,0,1
"C LIT 27",0,0,1,1,0,0,0,0,0,0,0,0,0
"C LIT 28",0,1,0,0,0,0,0,0,0,0,0,0,0
"C LIT 30",0,1,0,1,0,0,0,0,0,0,1,0,1
"C LIT 31",0,1,0,0,0,0,0,0,0,0,0,1,1
"C LIT 32",0,1,0,0,0,0,0,0,0,0,0,1,1
"C LIT 33",0,1,0,0,0,0,0,0,0,0,0,1,1
"C LIT 34",0,1,0,0,0,0,0,0,0,0,0,0,1
